userid,dob
2025CI0001,17-09-2007
2025CI0003,05-08-2007
2025CI0008,22-10-2007
2025CI0013,13-02-2008
2025CI0014,29-09-2006
2025CI0015,21-02-2007
2025CI0016,18-01-2007
2025CI0017,15-04-2007
2025CI0020,23-07-2007
2025CI0025,17-11-2006
2025CI0026,14-09-2007
2025CI0027,29-06-2007
2025CI0029,25-04-2007
2025CI0031,13-03-2007
2025CI0033,13-11-2006
2025CI0035,03-07-2007
2025CI0037,04-01-2008
2025CI0038,27-01-2008
2025CI0039,06-02-2007
2025CI0044,07-08-2007
2025CI0045,29-04-2007
2025CI0046,16-04-2007
2025CI0048,26-05-2007
2025CI0049,16-09-2007
2025CI0050,28-02-2007
2025CI0054,04-10-2006
2025CI0055,17-05-2007
2025CI0056,11-04-2007
2025CI0057,15-09-2007
2025CI0060,18-02-2006
2025CI0062,23-10-2007 
2025CI0064,16-03-2007
2025CI0065,23-10-2006
2025CI0066,31-08-2007
2025CI0067,26-09-2006
2025CI0069,31-10-2007
2025CI0074,03-05-2007
2025CI0075,13-11-2006
2025CI0076,05-02-2007
2025CI0080,28-04-2007
2025CI0081,08-01-2007
2025CI0082,08-09-2007
2025CI0083,31-03-2007
2025CI0084,22-12-2007
2025CI0086,12-10-2007
2025CI0088,08-06-2007
2025CI0089,17-12-2005
2025CI0093,11-10-2007
2025CI0094,20-07-2008
2025CI0095,09-02-2007
2025CI0098,03-01-2006
2025CI0101,27-03-2006
2025CI0105,23-03-2008
2025CI0107,14-04-2007
2025CI0109,04-12-2007
2025CI0110,23-12-2007
2025CI0112,06-07-2006
2025CI0115,11-01-2007
2025CI0118,13-12-2005
2025CI0119,14-02-2007
2025CI0123,09-03-2007
